2018-10-18T19:47:14+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-10-18T19:47:28+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-10-18T21:23:13+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-10-18T21:23:23+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-10-18T21:23:24+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

2018-10-18T21:23:32+00:00 CRITICAL Uncaught Exception: parse error: failed at `$fw-header-sticky-color: ; $fw-header-sticky-opacity: 5%; $fw-header-sticky-menu-item-color-lvl1: #ff8b00; $fw-header-sticky-menu-item-hover-color-lvl1: #cd57a3; $fw-title-bar-font-family: 'Montserrat'; $fw-title-bar-font-size: 32px; $fw-title-bar-height: 36px; $fw-title-bar-letter-spacing: -2px; $fw-title-bar-color: #ffffff; $fw-title-bar-font-style: normal; $fw-title-bar-font-weight: 700; $fw-title-bar-description-font-family: 'Montserrat'; $fw-title-bar-description-font-size: 55px; $fw-title-bar-description-height: 65px; $fw-title-bar-description-letter-spacing: 0px; $fw-title-bar-description-font-style: normal; $fw-title-bar-description-font-weight: 700; $breadcrumbs-typographyfont-family: 'Quattrocento Sans'; $breadcrumbs-typographyfont-font-size: 12px; $breadcrumbs-typographyfont-height: 18px; $breadcrumbs-typographyfont-letter-spacing: 2px; $breadcrumbs-typographyfont-color: #ffffff; $breadcrumbs-typographyfont-font-style: normal; $breadcrumbs-typographyfont-

